"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Município";"2024"
"Município";"Total";"Café (em grão) Total";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"Arroio Trinta (SC)";"1920";"-";"-";"1450";"250"
"Arvoredo (SC)";"585";"-";"45";"150";"250"
"Ascurra (SC)";"667";"-";"35";"30";"-"
"Atalanta (SC)";"3359";"-";"4";"800";"1250"
"Aurora (SC)";"5354";"-";"7";"1700";"700"
"Balneário Arroio do Silva (SC)";"...";"...";"...";"...";"..."
"Balneário Camboriú (SC)";"...";"...";"...";"...";"..."
"Balneário Barra do Sul (SC)";"15";"-";"5";"-";"-"
"Balneário Gaivota (SC)";"461";"-";"-";"110";"150"
"Bandeirante (SC)";"2171";"-";"20";"600";"1200"
"Barra Bonita (SC)";"1167";"-";"10";"600";"245"
"Barra Velha (SC)";"1466";"-";"-";"-";"-"
"Bela Vista do Toldo (SC)";"11195";"-";"-";"1000";"6100"
"Belmonte (SC)";"3594";"-";"25";"1650";"1200"
"Benedito Novo (SC)";"823";"-";"-";"395";"-"
"Biguaçu (SC)";"550";"-";"50";"-";"-"
"Blumenau (SC)";"319";"-";"7";"106";"-"
"Bocaina do Sul (SC)";"2729";"-";"-";"400";"1800"
"Bombinhas (SC)";"...";"...";"...";"...";"..."
"Bom Jardim da Serra (SC)";"1739";"-";"-";"75";"-"
"Bom Jesus (SC)";"5714";"-";"2";"600";"3500"
"Bom Jesus do Oeste (SC)";"3875";"-";"-";"600";"2000"
"Bom Retiro (SC)";"11807";"-";"-";"2000";"8000"
"Botuverá (SC)";"380";"-";"-";"150";"-"
"Braço do Norte (SC)";"823";"-";"35";"450";"-"
"Braço do Trombudo (SC)";"1278";"-";"30";"700";"300"
"Brunópolis (SC)";"11692";"-";"-";"2100";"9230"
"Brusque (SC)";"101";"-";"-";"-";"-"
"Caçador (SC)";"8720";"-";"-";"3250";"3250"
"Caibi (SC)";"2515";"-";"-";"1000";"1100"
"Calmon (SC)";"3358";"-";"-";"1000";"1500"
"Camboriú (SC)";"987";"-";"-";"5";"-"
"Capão Alto (SC)";"13273";"-";"-";"2800";"9000"
"Campo Alegre (SC)";"4438";"-";"-";"1000";"2250"
"Campo Belo do Sul (SC)";"20338";"-";"-";"3200";"14800"
"Campo Erê (SC)";"32898";"-";"10";"2500";"19700"
"Campos Novos (SC)";"90879";"-";"-";"9144";"64000"
"Canelinha (SC)";"240";"-";"-";"17";"-"
"Canoinhas (SC)";"48596";"-";"-";"4800";"29000"
"Capinzal (SC)";"8405";"-";"-";"980";"5200"
"Capivari de Baixo (SC)";"1412";"-";"-";"100";"412"
"Catanduvas (SC)";"1840";"-";"-";"360";"600"
"Caxambu do Sul (SC)";"8583";"-";"-";"2680";"4250"
"Celso Ramos (SC)";"2052";"-";"60";"700";"900"
"Cerro Negro (SC)";"9991";"-";"-";"2400";"6100"
"Chapadão do Lageado (SC)";"4113";"-";"5";"800";"640"
"Chapecó (SC)";"22459";"-";"-";"4050";"10800"
"Cocal do Sul (SC)";"1086";"-";"10";"425";"360"
"Concórdia (SC)";"9843";"-";"70";"5000";"2200"
"Cordilheira Alta (SC)";"691";"-";"-";"190";"320"
"Coronel Freitas (SC)";"4277";"-";"-";"600";"2500"
"Coronel Martins (SC)";"3318";"-";"4";"150";"2700"
"Corupá (SC)";"5414";"-";"80";"40";"-"
"Correia Pinto (SC)";"7296";"-";"-";"900";"5800"
"Criciúma (SC)";"5062";"-";"40";"1200";"1800"
"Cunha Porã (SC)";"9114";"-";"-";"1200";"5200"
"Cunhataí (SC)";"1360";"-";"-";"570";"550"
"Curitibanos (SC)";"28708";"-";"-";"2900";"24100"
"Descanso (SC)";"9721";"-";"33";"3550";"3650"
"Dionísio Cerqueira (SC)";"10503";"-";"25";"700";"7800"
"Dona Emma (SC)";"1473";"-";"-";"750";"100"
"Doutor Pedrinho (SC)";"1355";"-";"-";"146";"300"
"Entre Rios (SC)";"2375";"-";"-";"200";"1800"
"Ermo (SC)";"4484";"-";"-";"450";"300"
"Erval Velho (SC)";"5787";"-";"-";"2805";"2660"
"Faxinal dos Guedes (SC)";"18886";"-";"-";"1850";"12100"
"Flor do Sertão (SC)";"1083";"-";"10";"370";"550"
"Florianópolis (SC)";"83";"-";"28";"-";"-"
"Formosa do Sul (SC)";"838";"-";"10";"120";"520"
"Forquilhinha (SC)";"12564";"-";"-";"1400";"1200"
"Fraiburgo (SC)";"17320";"-";"-";"4500";"8000"
"Frei Rogério (SC)";"6332";"-";"-";"1700";"3800"
"Galvão (SC)";"8614";"-";"3";"500";"5200"
"Garopaba (SC)";"269";"-";"30";"5";"-"
"Garuva (SC)";"2919";"-";"-";"-";"-"
"Gaspar (SC)";"2921";"-";"54";"9";"-"
"Governador Celso Ramos (SC)";"17";"-";"-";"-";"-"
"Grão-Pará (SC)";"1823";"-";"40";"425";"-"
"Gravatal (SC)";"558";"-";"5";"5";"318"
"Guabiruba (SC)";"244";"-";"-";"70";"-"
"Guaraciaba (SC)";"10514";"-";"90";"2550";"6250"
"Guaramirim (SC)";"5476";"-";"-";"80";"-"
"Guarujá do Sul (SC)";"2882";"-";"7";"380";"1890"
"Guatambú (SC)";"8386";"-";"60";"680";"4600"
"Herval d'Oeste (SC)";"1928";"-";"-";"1270";"500"
"Ibiam (SC)";"1872";"-";"-";"1210";"355"
"Ibicaré (SC)";"2994";"-";"-";"2250";"500"
"Ibirama (SC)";"838";"-";"15";"420";"-"
"Içara (SC)";"10160";"-";"30";"2000";"3000"
"Ilhota (SC)";"3834";"-";"-";"20";"-"
"Imaruí (SC)";"3196";"-";"9";"45";"140"
"Imbituba (SC)";"2341";"-";"8";"30";"95"
"Imbuia (SC)";"5319";"-";"-";"1200";"350"
"Indaial (SC)";"429";"-";"-";"56";"-"
"Iomerê (SC)";"2888";"-";"-";"2050";"450"
"Ipira (SC)";"1543";"-";"30";"850";"340"
"Iporã do Oeste (SC)";"5479";"-";"50";"1700";"2200"
"Ipuaçu (SC)";"15781";"-";"10";"1700";"10300"
"Ipumirim (SC)";"1467";"-";"8";"500";"300"
"Iraceminha (SC)";"6576";"-";"-";"1100";"3400"
"Irani (SC)";"4881";"-";"20";"800";"3400"
"Irati (SC)";"2097";"-";"25";"140";"1780"
"Irineópolis (SC)";"25020";"-";"-";"2900";"14300"
"Itá (SC)";"1205";"-";"15";"300";"550"
"Itaiópolis (SC)";"36553";"-";"-";"5400";"22100"
"Itajaí (SC)";"2013";"-";"-";"-";"-"
"Itapema (SC)";"21";"-";"-";"-";"-"
"Itapiranga (SC)";"4441";"-";"75";"1365";"2200"
"Itapoá (SC)";"540";"-";"-";"-";"-"
"Ituporanga (SC)";"15990";"-";"-";"3100";"4000"
"Jaborá (SC)";"3824";"-";"-";"1610";"1500"
"Jacinto Machado (SC)";"13352";"-";"25";"870";"60"
"Jaguaruna (SC)";"6854";"-";"6";"150";"510"
"Jaraguá do Sul (SC)";"2650";"-";"-";"145";"-"
"Jardinópolis (SC)";"1697";"-";"-";"50";"900"
"Joaçaba (SC)";"4328";"-";"-";"2655";"1400"
"Joinville (SC)";"5526";"-";"150";"-";"-"
"José Boiteux (SC)";"1663";"-";"10";"480";"-"
"Jupiá (SC)";"3669";"-";"4";"300";"2600"
"Lacerdópolis (SC)";"2730";"-";"-";"2000";"470"
"Lages (SC)";"22607";"-";"-";"4000";"14000"
"Laguna (SC)";"282";"-";"-";"60";"-"
"Lajeado Grande (SC)";"4243";"-";"-";"900";"2400"
"Laurentino (SC)";"708";"-";"-";"400";"20"
"Lauro Müller (SC)";"528";"-";"25";"200";"-"
"Lebon Régis (SC)";"8756";"-";"-";"2196";"4180"
"Leoberto Leal (SC)";"3440";"-";"-";"1000";"-"
"Lindóia do Sul (SC)";"1428";"-";"8";"500";"250"
"Lontras (SC)";"1720";"-";"17";"740";"100"
"Luiz Alves (SC)";"5783";"-";"300";"-";"-"
"Luzerna (SC)";"2522";"-";"-";"1800";"550"
"Macieira (SC)";"1551";"-";"-";"1200";"150"
"Mafra (SC)";"52534";"-";"-";"5600";"34200"
"Major Gercino (SC)";"395";"-";"-";"50";"-"
"Major Vieira (SC)";"19046";"-";"-";"1000";"13700"
"Maracajá (SC)";"2590";"-";"4";"300";"200"
"Maravilha (SC)";"7281";"-";"-";"1300";"3900"
"Marema (SC)";"1746";"-";"40";"550";"800"
"Massaranduba (SC)";"7649";"-";"-";"35";"-"
"Matos Costa (SC)";"1860";"-";"-";"1150";"400"
"Meleiro (SC)";"13268";"-";"-";"1400";"560"
"Mirim Doce (SC)";"1807";"-";"-";"200";"-"
"Modelo (SC)";"4175";"-";"-";"900";"2000"
"Mondaí (SC)";"2139";"-";"-";"970";"650"
"Monte Carlo (SC)";"3319";"-";"-";"675";"1600"
"Monte Castelo (SC)";"7767";"-";"-";"500";"5600"
"Morro da Fumaça (SC)";"1298";"-";"1";"330";"420"
"Morro Grande (SC)";"4074";"-";"10";"550";"80"
"Navegantes (SC)";"1065";"-";"-";"-";"-"
"Nova Erechim (SC)";"2105";"-";"-";"400";"1430"
"Nova Itaberaba (SC)";"2127";"-";"-";"800";"800"
"Nova Trento (SC)";"1865";"-";"-";"800";"-"
"Nova Veneza (SC)";"9955";"-";"15";"900";"100"
"Novo Horizonte (SC)";"4890";"-";"10";"200";"4000"
"Orleans (SC)";"3715";"-";"200";"900";"100"
"Otacílio Costa (SC)";"14183";"-";"-";"400";"13000"
"Ouro (SC)";"3222";"-";"-";"1900";"800"
"Ouro Verde (SC)";"17855";"-";"-";"2000";"9500"
"Paial (SC)";"502";"-";"40";"200";"150"
"Painel (SC)";"1521";"-";"-";"250";"850"
"Palhoça (SC)";"692";"-";"1";"-";"-"
"Palma Sola (SC)";"15514";"-";"15";"1100";"10050"
"Palmeira (SC)";"2725";"-";"-";"300";"2200"
"Palmitos (SC)";"11012";"-";"-";"4500";"4300"
"Papanduva (SC)";"26505";"-";"-";"3800";"15700"
"Paraíso (SC)";"3446";"-";"32";"800";"1900"
"Passo de Torres (SC)";"998";"-";"-";"100";"150"
"Passos Maia (SC)";"10752";"-";"2";"800";"9000"
"Paulo Lopes (SC)";"1419";"-";"22";"40";"-"
"Pedras Grandes (SC)";"1282";"-";"20";"400";"30"
"Penha (SC)";"35";"-";"20";"-";"-"
"Peritiba (SC)";"792";"-";"8";"500";"80"
"Pescaria Brava (SC)";"225";"-";"-";"2";"-"
"Petrolândia (SC)";"5355";"-";"50";"1600";"1400"
"Balneário Piçarras (SC)";"1200";"-";"-";"-";"-"
"Pinhalzinho (SC)";"7041";"-";"-";"1810";"3800"
"Pinheiro Preto (SC)";"1812";"-";"-";"1000";"250"
"Piratuba (SC)";"1816";"-";"30";"400";"800"
"Planalto Alegre (SC)";"1330";"-";"-";"350";"600"
"Pomerode (SC)";"250";"-";"6";"88";"-"
"Ponte Alta (SC)";"4965";"-";"-";"1100";"3700"
"Ponte Alta do Norte (SC)";"664";"-";"-";"170";"490"
"Ponte Serrada (SC)";"6569";"-";"6";"300";"5900"
"Porto Belo (SC)";"35";"-";"-";"-";"-"
"Porto União (SC)";"10823";"-";"-";"1000";"8600"
"Pouso Redondo (SC)";"4834";"-";"10";"1100";"650"
"Praia Grande (SC)";"5171";"-";"-";"150";"30"
"Presidente Castello Branco (SC)";"714";"-";"8";"500";"25"
"Presidente Getúlio (SC)";"3612";"-";"8";"1900";"450"
"Presidente Nereu (SC)";"1694";"-";"-";"680";"-"
"Princesa (SC)";"2458";"-";"25";"1000";"750"
"Quilombo (SC)";"14095";"-";"76";"4200";"7000"
"Rancho Queimado (SC)";"406";"-";"-";"132";"-"
"Rio das Antas (SC)";"6001";"-";"-";"2750";"2400"
"Rio do Campo (SC)";"6854";"-";"-";"1700";"2000"
"Rio do Oeste (SC)";"4421";"-";"5";"1350";"200"
"Rio dos Cedros (SC)";"1762";"-";"9";"183";"47"
"Rio do Sul (SC)";"1593";"-";"10";"500";"450"
"Rio Fortuna (SC)";"811";"-";"63";"25";"-"
"Rio Negrinho (SC)";"12637";"-";"-";"1300";"9400"
"Rio Rufino (SC)";"1272";"-";"-";"600";"350"
"Riqueza (SC)";"2551";"-";"-";"1000";"800"
"Rodeio (SC)";"1134";"-";"26";"38";"-"
"Romelândia (SC)";"2472";"-";"80";"900";"1000"
"Salete (SC)";"1415";"-";"-";"600";"400"
"Saltinho (SC)";"2430";"-";"-";"300";"1500"
"Salto Veloso (SC)";"1667";"-";"-";"1500";"70"
"Sangão (SC)";"1766";"-";"25";"40";"-"
"Santa Cecília (SC)";"3570";"-";"-";"110";"2840"
"Santa Helena (SC)";"1711";"-";"10";"700";"650"
"Santa Rosa de Lima (SC)";"137";"-";"10";"50";"-"
"Santa Rosa do Sul (SC)";"2791";"-";"-";"130";"100"
"Santa Terezinha (SC)";"12808";"-";"2";"2000";"5501"
"Santa Terezinha do Progresso (SC)";"641";"-";"20";"80";"370"
"Santiago do Sul (SC)";"2529";"-";"5";"400";"1600"
"Santo Amaro da Imperatriz (SC)";"233";"-";"100";"10";"-"
"São Bernardino (SC)";"2821";"-";"15";"100";"2180"
"São Bento do Sul (SC)";"3196";"-";"-";"800";"1250"
"São Bonifácio (SC)";"300";"-";"32";"128";"-"
"São Carlos (SC)";"1936";"-";"-";"800";"900"
"São Cristóvão do Sul (SC)";"1051";"-";"-";"280";"700"
"São Domingos (SC)";"30320";"-";"12";"1050";"17200"
"São Francisco do Sul (SC)";"140";"-";"12";"-";"-"
"São João do Oeste (SC)";"2130";"-";"53";"1000";"900"
"São João Batista (SC)";"789";"-";"-";"230";"-"
"São João do Itaperiú (SC)";"3220";"-";"-";"-";"-"
"São João do Sul (SC)";"6169";"-";"-";"300";"150"
"São Joaquim (SC)";"9768";"-";"-";"300";"-"
"São José (SC)";"51";"-";"5";"20";"-"
"São José do Cedro (SC)";"10444";"-";"60";"4000";"4800"
"São José do Cerrito (SC)";"16534";"-";"-";"4000";"10200"
"São Lourenço do Oeste (SC)";"9710";"-";"20";"1150";"6100"
"São Ludgero (SC)";"223";"-";"8";"80";"-"
"São Martinho (SC)";"555";"-";"30";"50";"-"
"São Miguel da Boa Vista (SC)";"1230";"-";"-";"380";"500"
"São Miguel do Oeste (SC)";"2982";"-";"13";"1080";"1280"
"São Pedro de Alcântara (SC)";"273";"-";"94";"20";"-"
"Saudades (SC)";"12018";"-";"-";"3000";"7000"
"Schroeder (SC)";"1193";"-";"5";"105";"-"
"Seara (SC)";"2937";"-";"15";"2000";"500"
"Serra Alta (SC)";"3547";"-";"-";"640";"1700"
"Siderópolis (SC)";"940";"-";"52";"270";"50"
"Sombrio (SC)";"4989";"-";"-";"1100";"200"
"Sul Brasil (SC)";"1608";"-";"-";"450";"750"
"Taió (SC)";"6565";"-";"-";"2300";"920"
"Tangará (SC)";"9821";"-";"-";"4700";"3500"
"Tigrinhos (SC)";"2546";"-";"-";"550";"1150"
"Tijucas (SC)";"2014";"-";"-";"22";"-"
"Timbé do Sul (SC)";"3889";"-";"30";"630";"20"
"Timbó (SC)";"700";"-";"25";"70";"-"
"Timbó Grande (SC)";"1410";"-";"-";"800";"350"
"Três Barras (SC)";"9501";"-";"-";"900";"7600"
"Treviso (SC)";"103";"-";"15";"40";"-"
"Treze de Maio (SC)";"3322";"-";"15";"850";"450"
"Treze Tílias (SC)";"2640";"-";"-";"1600";"830"
"Trombudo Central (SC)";"1812";"-";"50";"500";"600"
"Tubarão (SC)";"6258";"-";"20";"1135";"1450"
"Tunápolis (SC)";"2215";"-";"32";"500";"1400"
"Turvo (SC)";"13960";"-";"20";"780";"600"
"União do Oeste (SC)";"3958";"-";"-";"650";"2000"
"Urubici (SC)";"1956";"-";"-";"600";"90"
"Urupema (SC)";"790";"-";"-";"30";"-"
"Urussanga (SC)";"1685";"-";"80";"450";"55"
"Vargeão (SC)";"7133";"-";"-";"700";"5800"
"Vargem (SC)";"5548";"-";"-";"1550";"3450"
"Vargem Bonita (SC)";"1811";"-";"-";"500";"1100"
"Vidal Ramos (SC)";"5941";"-";"4";"1400";"700"
"Videira (SC)";"8478";"-";"-";"4900";"2300"
"Vitor Meireles (SC)";"3785";"-";"-";"1100";"650"
"Witmarsum (SC)";"1815";"-";"40";"700";"200"
"Xanxerê (SC)";"21568";"-";"15";"2500";"10500"
"Xavantina (SC)";"1094";"-";"35";"570";"250"
"Xaxim (SC)";"8134";"-";"-";"1300";"4100"
"Zortéa (SC)";"10330";"-";"-";"500";"7250"
"Balneário Rincão (SC)";"241";"-";"-";"3";"-"
"Aceguá (RS)";"40973";"-";"-";"1000";"32000"
"Água Santa (RS)";"20885";"-";"4";"2000";"14200"
"Agudo (RS)";"18962";"-";"58";"3500";"1500"
"Ajuricaba (RS)";"35211";"-";"20";"1060";"21560"
"Alecrim (RS)";"5027";"-";"100";"1101";"2405"
"Alegrete (RS)";"199697";"-";"-";"4000";"120000"
"Alegria (RS)";"12970";"-";"30";"1960";"7660"
"Almirante Tamandaré do Sul (RS)";"23844";"-";"2";"1240";"16100"
"Alpestre (RS)";"8340";"-";"94";"3000";"2000"
"Alto Alegre (RS)";"9171";"-";"-";"460";"6225"
"Alto Feliz (RS)";"577";"-";"13";"177";"-"
"Alvorada (RS)";"162";"-";"-";"-";"25"
"Amaral Ferrador (RS)";"9866";"-";"-";"2000";"4500"
"Ametista do Sul (RS)";"2145";"-";"10";"600";"800"
"André da Rocha (RS)";"16797";"-";"-";"2500";"12000"
"Anta Gorda (RS)";"9165";"-";"26";"3900";"700"
"Antônio Prado (RS)";"5000";"-";"6";"1700";"-"
"Arambaré (RS)";"25334";"-";"-";"50";"11688"
"Araricá (RS)";"79";"-";"5";"2";"-"
"Aratiba (RS)";"4574";"-";"20";"1100";"1800"
"Arroio do Meio (RS)";"2500";"-";"40";"890";"1280"
"Arroio do Sal (RS)";"316";"-";"-";"-";"300"
"Arroio do Padre (RS)";"2408";"-";"-";"450";"650"
"Arroio dos Ratos (RS)";"6917";"-";"-";"180";"5500"
"Arroio do Tigre (RS)";"23737";"-";"12";"4600";"9800"
"Arroio Grande (RS)";"93540";"-";"-";"1640";"59460"
"Arvorezinha (RS)";"10667";"-";"20";"1450";"1850"
"Augusto Pestana (RS)";"28954";"-";"10";"100";"20120"
"Áurea (RS)";"11560";"-";"20";"800";"7000"
"Bagé (RS)";"51747";"-";"-";"400";"42000"
"Balneário Pinhal (RS)";"1021";"-";"-";"-";"800"
"Barão (RS)";"1047";"-";"7";"800";"-"
"Barão de Cotegipe (RS)";"13016";"-";"20";"3500";"7000"
"Barão do Triunfo (RS)";"6197";"-";"7";"800";"2000"
"Barracão (RS)";"30980";"-";"5";"2300";"26000"
"Barra do Guarita (RS)";"2924";"-";"16";"500";"1950"
"Barra do Quaraí (RS)";"24919";"-";"-";"100";"3100"
"Barra do Ribeiro (RS)";"23210";"-";"-";"270";"9622"
"Barra do Rio Azul (RS)";"3900";"-";"30";"1120";"1850"
"Barra Funda (RS)";"5497";"-";"2";"315";"3515"
"Barros Cassal (RS)";"21974";"-";"-";"2500";"15000"
"Benjamin Constant do Sul (RS)";"3670";"-";"5";"600";"1670"
"Bento Gonçalves (RS)";"5311";"-";"35";"100";"-"
"Boa Vista das Missões (RS)";"29533";"-";"3";"3600";"14800"
"Boa Vista do Buricá (RS)";"4781";"-";"30";"1500";"2350"
"Boa Vista do Cadeado (RS)";"59556";"-";"8";"3800";"41200"
"Boa Vista do Incra (RS)";"43181";"-";"3";"1200";"31200"
"Boa Vista do Sul (RS)";"779";"-";"3";"550";"-"
"Bom Jesus (RS)";"40085";"-";"-";"9000";"15000"
"Bom Princípio (RS)";"1223";"-";"50";"600";"-"
"Bom Progresso (RS)";"6914";"-";"10";"700";"4400"
"Bom Retiro do Sul (RS)";"1040";"-";"3";"200";"500"
"Boqueirão do Leão (RS)";"8042";"-";"3";"1400";"2800"
"Bossoroca (RS)";"69398";"-";"70";"3200";"55000"
"Bozano (RS)";"21845";"-";"7";"390";"13880"
"Braga (RS)";"14062";"-";"18";"1200";"8000"
"Brochier (RS)";"1028";"-";"50";"180";"-"
"Butiá (RS)";"15681";"-";"-";"500";"13500"
"Caçapava do Sul (RS)";"56407";"-";"-";"2000";"40000"
"Cacequi (RS)";"63870";"-";"14";"890";"41000"
"Cachoeira do Sul (RS)";"152218";"-";"60";"5400";"104822"
"Cachoeirinha (RS)";"...";"...";"...";"...";"..."
"Cacique Doble (RS)";"15071";"-";"2";"1000";"9300"
"Caibaté (RS)";"28051";"-";"10";"3486";"15350"
"Caiçara (RS)";"8999";"-";"60";"2000";"4200"
"Camaquã (RS)";"76756";"-";"-";"4860";"32000"
"Camargo (RS)";"8658";"-";"4";"700";"6750"
"Cambará do Sul (RS)";"1750";"-";"-";"600";"550"
"Campestre da Serra (RS)";"11386";"-";"-";"1200";"4150"
"Campina das Missões (RS)";"9609";"-";"80";"1615";"6000"
"Campinas do Sul (RS)";"22660";"-";"4";"2000";"15800"
"Campo Bom (RS)";"133";"-";"20";"30";"-"
"Campo Novo (RS)";"21500";"-";"10";"3500";"10900"
"Campos Borges (RS)";"13039";"-";"14";"310";"10070"
"Candelária (RS)";"38494";"-";"40";"5690";"19800"
"Cândido Godói (RS)";"15710";"-";"20";"2000";"9500"
"Candiota (RS)";"24738";"-";"-";"900";"20000"
"Canela (RS)";"399";"-";"6";"150";"-"
"Canguçu (RS)";"84558";"-";"-";"7200";"62000"
"Canoas (RS)";"723";"-";"-";"-";"150"
"Canudos do Vale (RS)";"641";"-";"30";"300";"-"
"Capão Bonito do Sul (RS)";"33327";"-";"-";"3200";"26000"
"Capão da Canoa (RS)";"15";"-";"-";"7";"-"
"Capão do Cipó (RS)";"82386";"-";"31";"1240";"63900"
"Capão do Leão (RS)";"17237";"-";"-";"150";"11000"
"Capivari do Sul (RS)";"16703";"-";"-";"35";"8900"
"Capela de Santana (RS)";"2852";"-";"15";"90";"800"
"Capitão (RS)";"167";"-";"10";"35";"-"
"Carazinho (RS)";"50682";"-";"-";"3070";"40320"
"Caraá (RS)";"2279";"-";"70";"800";"60"
"Carlos Barbosa (RS)";"1319";"-";"4";"960";"-"
"Carlos Gomes (RS)";"5907";"-";"14";"1000";"3600"
"Casca (RS)";"15075";"-";"-";"3000";"9000"
"Caseiros (RS)";"10397";"-";"-";"800";"8200"
"Catuípe (RS)";"56725";"-";"30";"1500";"36000"
"Caxias do Sul (RS)";"15648";"-";"10";"6500";"500"
"Centenário (RS)";"11226";"-";"40";"900";"6500"
"Cerrito (RS)";"11993";"-";"-";"600";"11000"
"Cerro Branco (RS)";"4511";"-";"72";"620";"1430"
"Cerro Grande (RS)";"6896";"-";"5";"1600";"3100"
"Cerro Grande do Sul (RS)";"6804";"-";"10";"2500";"450"
"Cerro Largo (RS)";"8819";"-";"15";"1200";"4700"
"Chapada (RS)";"67325";"-";"70";"2500";"45000"
"Charqueadas (RS)";"7117";"-";"-";"40";"2875"
"Charrua (RS)";"13959";"-";"3";"600";"10000"
"Chiapetta (RS)";"47734";"-";"2";"3800";"29500"
"Chuí (RS)";"8368";"-";"-";"30";"5116"
"Chuvisca (RS)";"7446";"-";"5";"3000";"500"
"Cidreira (RS)";"1661";"-";"-";"40";"500"
"Ciríaco (RS)";"21557";"-";"-";"3500";"13000"
"Colinas (RS)";"646";"-";"6";"50";"500"
"Colorado (RS)";"29820";"-";"3";"1620";"18020"
"Condor (RS)";"46064";"-";"10";"1700";"30400"
"Constantina (RS)";"19214";"-";"45";"902";"12500"
"Coqueiro Baixo (RS)";"390";"-";"4";"250";"40"
"Coqueiros do Sul (RS)";"20203";"-";"2";"200";"15570"
"Coronel Barros (RS)";"19674";"-";"7";"253";"11890"
"Coronel Bicaco (RS)";"51452";"-";"20";"4000";"34000"
"Coronel Pilar (RS)";"1519";"-";"-";"330";"-"
"Cotiporã (RS)";"3528";"-";"40";"1000";"420"
"Coxilha (RS)";"46757";"-";"-";"3000";"32000"
"Crissiumal (RS)";"24831";"-";"100";"3280";"13500"
"Cristal (RS)";"22527";"-";"-";"700";"17000"
"Cristal do Sul (RS)";"8309";"-";"20";"1900";"4980"
"Cruz Alta (RS)";"138417";"-";"5";"10000";"92400"
"Cruzaltense (RS)";"12641";"-";"10";"1300";"7750"
"Cruzeiro do Sul (RS)";"7118";"-";"30";"1350";"3650"
"David Canabarro (RS)";"10478";"-";"5";"3000";"5500"
"Derrubadas (RS)";"20044";"-";"20";"3500";"10000"
"Dezesseis de Novembro (RS)";"2862";"-";"40";"425";"1690"
"Dilermando de Aguiar (RS)";"35113";"-";"-";"350";"29000"
"Dois Irmãos (RS)";"392";"-";"72";"100";"-"
"Dois Irmãos das Missões (RS)";"24035";"-";"3";"2000";"15500"
"Dois Lajeados (RS)";"3158";"-";"15";"950";"1200"
"Dom Feliciano (RS)";"19741";"-";"6";"6500";"5000"
"Dom Pedro de Alcântara (RS)";"965";"-";"8";"-";"-"
"Dom Pedrito (RS)";"159063";"-";"-";"2450";"120000"
"Dona Francisca (RS)";"3754";"-";"25";"320";"720"
"Doutor Maurício Cardoso (RS)";"28199";"-";"25";"6530";"13780"
"Doutor Ricardo (RS)";"1615";"-";"30";"1000";"200"
"Eldorado do Sul (RS)";"15436";"-";"5";"80";"3500"
"Encantado (RS)";"1301";"-";"25";"650";"400"
"Encruzilhada do Sul (RS)";"65758";"-";"-";"2500";"53000"
"Engenho Velho (RS)";"5277";"-";"10";"300";"3500"
"Entre-Ijuís (RS)";"61665";"-";"15";"4312";"35098"
"Entre Rios do Sul (RS)";"8582";"-";"11";"400";"5500"
"Erebango (RS)";"15559";"-";"1";"400";"11000"
"Erechim (RS)";"14675";"-";"32";"1400";"10100"
"Ernestina (RS)";"22015";"-";"-";"200";"17250"
"Herval (RS)";"23215";"-";"-";"1300";"21000"
"Erval Grande (RS)";"5393";"-";"48";"400";"4000"
"Erval Seco (RS)";"29029";"-";"40";"3700";"15800"
"Esmeralda (RS)";"47570";"-";"-";"5200";"32000"
"Esperança do Sul (RS)";"8680";"-";"60";"1700";"5000"
"Espumoso (RS)";"76161";"-";"10";"1200";"52000"
"Estação (RS)";"8621";"-";"1";"300";"5900"
"Estância Velha (RS)";"142";"-";"10";"60";"-"
"Esteio (RS)";"430";"-";"-";"-";"-"
"Estrela (RS)";"4390";"-";"70";"900";"2500"
"Estrela Velha (RS)";"19097";"-";"2";"850";"13150"
"Eugênio de Castro (RS)";"48854";"-";"2";"3320";"29500"
"Fagundes Varela (RS)";"3649";"-";"2";"1400";"1300"
"Farroupilha (RS)";"6710";"-";"-";"1600";"-"
"Faxinal do Soturno (RS)";"4631";"-";"30";"280";"1900"
"Faxinalzinho (RS)";"8182";"-";"5";"600";"6500"
"Fazenda Vilanova (RS)";"1325";"-";"-";"400";"600"
"Feliz (RS)";"433";"-";"10";"120";"-"
"Flores da Cunha (RS)";"6223";"-";"-";"400";"10"
"Floriano Peixoto (RS)";"9225";"-";"18";"700";"7000"
"Fontoura Xavier (RS)";"9716";"-";"-";"900";"5000"
"Formigueiro (RS)";"22390";"-";"12";"650";"14000"
"Forquetinha (RS)";"1158";"-";"10";"550";"500"
"Fortaleza dos Valos (RS)";"50270";"-";"10";"2200";"36000"
"Frederico Westphalen (RS)";"14217";"-";"50";"3000";"7800"
"Garibaldi (RS)";"3110";"-";"-";"450";"-"
"Garruchos (RS)";"28365";"-";"70";"2186";"20350"
"Gaurama (RS)";"12040";"-";"10";"1700";"7500"
"General Câmara (RS)";"18808";"-";"4";"2500";"11000"
"Gentil (RS)";"12244";"-";"6";"400";"10500"
